item_code,item_name
1,Dry bean
2,Fresh bean
3,String bean
4,Groundnut flour
5,Irish potato
6,Sweet potato
7,Cassava (root)
8,Tarot/amateke
9,Banana-cooking (Inyamunyo)
10,Corn (flour from Mill)
11,Corn (flour from Factory)
12,Cassava flour (yasekuwe)
13,Cassava (fermented)
14,Cassava from Mill)
15,Cassava from Factory)
16,Local rice
17,Imported rice
18,Maize (fresh)
19,Dry maize (grain)
20,Tomato
21,Fresh milk
22,Curdled Milk
23,Cakes/Chapati/Mandazi
24,Bread
25,Sugar (imported)
26,Sugar (local)
27,Salt
28,Local banana beer
29,Sorghum juice(Ubushera)
30,Local sorghum beer(ikigage)
31,Peanut oil
32,Margarine
33,Palm oil
34,Other plant oils
35,Lard of pork
36,Beef meat
37,Sheep /Mutton / lamb meat
38,Goat meat
39,Pork meat
40,Rabbit Meat
41,Wild Meat
42,Other Meats
43,"Sausages, bacon, ham etc"
44,Preserved/canned meat
45,Sorghum
46,Fermented sorghum
47,Wheat (grain)
48,Other cereals
49,Sorghum (flour)
50,Wheat (flour)
51,Millet (flour)
52,Other flour of cereals
53,Biscuits
54,Pasta
55,Chicken live
56,Frozen chicken
57,Other domestic poultries e.g. ducks
58,Eggs
59,Fish (fresh / frozen)
60,Small Sized Fish (fresh)
61,Fish (dry / smoked)
62,Small Sized Fish (dry)
63,Preserved/canned fish
64,Condensed milk unsweetened
65,Milk powder
66,Yogurt
67,Ice cream
68,Cheese
69,Butter (local)
70,Butter (imported)
71,Banana fruit (Imineke)
72,Banana - beer (Ikakama/Inkashi)
73,Mangos
74,Papayas
75,Avocado
76,Pineapple
77,Guava
78,Orange (local)
79,Orange (imported)
80,Tangerine
81,Citron - Lemon
82,Passion Fruit
83,Plums
84,Berries
85,Apples
86,Other fruits
87,Soya Flour
88,Sunflower flour
89,Ground nuts (peanuts)
90,Grilled ground nuts
91,Soya (fresh)
92,Soya (dry)
93,Green pea (fresh)
94,Green pea (dry)
95,Onion
96,Garlic
97,Pumpkin
98,Cucumber
99,Eggplant
100,Carrot
101,Leeks
102,Lettuce
103,Celery
104,Parsley
105,Mushrooms
106,Cassava leaves
107,Amarante (small leafed green)
108,Cabbages
109,Spinach
110,Amarante (large leafed green)
111,Other Vegetables
112,Chayote
113,Pepper
114,Yams/Ibikoro
115,Other tubers
116,Sugarcane
117,"Jam, marmalade"
118,Honey
119,Chocolate
120,Candy / Gum
121,Sugar glu
122,Pepper(ground / liquid)
123,Vinegar
124,Mayonnaise
125,Tomato concentrate
126,Pepper-raw
127,Boullion cubes(MAGGI)
128,Baby food
129,Other food items
130,Coffee (local)
131,Coffee (imported)
132,Tea (local)
133,Tea (imported)
134,Cocoa and powdered drinking chocolate
135,Mineral water
136,Carbonated Soft Drinks
137,Local banana juice
138,Passion fruit juice
139,Other juices of fruits (local)
140,Other juices of fruits (imported)
141,Powdered juice(super dip)
142,Liqueurs (local)
143,Liqueurs (imported)
144,Wine (local)
145,Wine (imported)
146,Other local beer
147,Commercial beer (local)
148,Commercial beer (imported)
